#: table_doi: 10.17182/hepdata.29245.v1/t2
#: name: Table 2
#: description: The EEC and its asymmetry at the hadron level, unfolded for initial-state radiation and for detector acceptance and resolution. Errors include full statistical and systematic uncertainties.

#: data_file: Table2.yaml
#: keyword reactions: E+ E- --> HADRONS | E+ E- --> Z0
#: keyword observables: CORR | DN/DCHI
#: keyword phrases: Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.3
#: RE,,,E+ E- --> HADRONS
#: SQRT(S) [GeV],,,91.3,,
CHI [DEGREES],CHI [DEGREES] LOW,CHI [DEGREES] HIGH,EEC(CHI) [RAD**-1],error +,error -
44.5,44.0,45.0,0.1133,0.0009,-0.0009
45.5,45.0,46.0,0.1103,0.0021,-0.0021
46.5,46.0,47.0,0.1091,0.0024,-0.0024
47.5,47.0,48.0,0.1058,0.0016,-0.0016
48.5,48.0,49.0,0.1048,0.0025,-0.0025
49.5,49.0,50.0,0.1029,0.0019,-0.0019
50.5,50.0,51.0,0.1001,0.0014,-0.0014
51.5,51.0,52.0,0.0992,0.0015,-0.0015
52.5,52.0,53.0,0.0965,0.0009,-0.0009
53.5,53.0,54.0,0.0956,0.0013,-0.0013
54.5,54.0,55.0,0.0937,0.0013,-0.0013
55.5,55.0,56.0,0.093,0.0014,-0.0014
56.5,56.0,57.0,0.0918,0.0009,-0.0009
57.5,57.0,58.0,0.0903,0.002,-0.002
58.5,58.0,59.0,0.0892,0.0017,-0.0017
59.5,59.0,60.0,0.088,0.001,-0.001
60.5,60.0,61.0,0.0869,0.0019,-0.0019
61.5,61.0,62.0,0.0866,0.0011,-0.0011
62.5,62.0,63.0,0.0852,0.001,-0.001
63.5,63.0,64.0,0.0852,0.001,-0.001
64.5,64.0,65.0,0.084,0.0013,-0.0013
65.5,65.0,66.0,0.083,0.0013,-0.0013
66.5,66.0,67.0,0.0822,0.0013,-0.0013
67.5,67.0,68.0,0.0816,0.0013,-0.0013
68.5,68.0,69.0,0.0813,0.001,-0.001
69.5,69.0,70.0,0.0807,0.0019,-0.0019
70.5,70.0,71.0,0.0797,0.001,-0.001
71.5,71.0,72.0,0.0782,0.0018,-0.0018
72.5,72.0,73.0,0.0788,0.0023,-0.0023
73.5,73.0,74.0,0.0795,0.002,-0.002
74.5,74.0,75.0,0.0786,0.0024,-0.0024
75.5,75.0,76.0,0.0781,0.0016,-0.0016
76.5,76.0,77.0,0.0783,0.0008,-0.0008
77.5,77.0,78.0,0.0784,0.0013,-0.0013
78.5,78.0,79.0,0.077,0.0008,-0.0008
79.5,79.0,80.0,0.0766,0.0011,-0.0011
80.5,80.0,81.0,0.0777,0.0019,-0.0019
81.5,81.0,82.0,0.0771,0.0022,-0.0022
82.5,82.0,83.0,0.0774,0.0017,-0.0017
83.5,83.0,84.0,0.0767,0.0018,-0.0018
84.5,84.0,85.0,0.0764,0.0007,-0.0007
85.5,85.0,86.0,0.0775,0.0014,-0.0014
86.5,86.0,87.0,0.0775,0.0019,-0.0019
87.5,87.0,88.0,0.0767,0.0016,-0.0016
88.5,88.0,89.0,0.078,0.0024,-0.0024
89.5,89.0,90.0,0.0785,0.0019,-0.0019

#: RE,,,E+ E- --> HADRONS
#: SQRT(S) [GeV],,,91.3,,
CHI [DEGREES],CHI [DEGREES] LOW,CHI [DEGREES] HIGH,EEC(180-CHI) [RAD**-1],error +,error -
0.5,0.0,1.0,0.255,0.019,-0.019
1.5,1.0,2.0,0.71,0.08,-0.08
2.5,2.0,3.0,1.038,0.047,-0.047
3.5,3.0,4.0,1.216,0.093,-0.093
4.5,4.0,5.0,1.284,0.058,-0.058
5.5,5.0,6.0,1.296,0.047,-0.047
6.5,6.0,7.0,1.273,0.026,-0.026
7.5,7.0,8.0,1.209,0.012,-0.012
8.5,8.0,9.0,1.146,0.01,-0.01
9.5,9.0,10.0,1.064,0.006,-0.006
10.5,10.0,11.0,0.994,0.016,-0.016
11.5,11.0,12.0,0.922,0.017,-0.017
12.5,12.0,13.0,0.8519,0.0056,-0.0056
13.5,13.0,14.0,0.786,0.022,-0.022
14.5,14.0,15.0,0.734,0.019,-0.019
15.5,15.0,16.0,0.684,0.016,-0.016
16.5,16.0,17.0,0.631,0.011,-0.011
17.5,17.0,18.0,0.5864,0.0088,-0.0088
18.5,18.0,19.0,0.5455,0.0083,-0.0083
19.5,19.0,20.0,0.5094,0.0046,-0.0046
20.5,20.0,21.0,0.4724,0.0064,-0.0064
21.5,21.0,22.0,0.444,0.013,-0.013
22.5,22.0,23.0,0.421,0.014,-0.014
23.5,23.0,24.0,0.394,0.012,-0.012
24.5,24.0,25.0,0.3694,0.0086,-0.0086
25.5,25.0,26.0,0.3509,0.009,-0.009
26.5,26.0,27.0,0.3317,0.0072,-0.0072
27.5,27.0,28.0,0.3128,0.0055,-0.0055
28.5,28.0,29.0,0.2982,0.0061,-0.0061
29.5,29.0,30.0,0.2827,0.0056,-0.0056
30.5,30.0,31.0,0.2693,0.0036,-0.0036
31.5,31.0,32.0,0.2546,0.0032,-0.0032
32.5,32.0,33.0,0.2428,0.0038,-0.0038
33.5,33.0,34.0,0.2356,0.0031,-0.0031
34.5,34.0,35.0,0.226,0.0047,-0.0047
35.5,35.0,36.0,0.2157,0.0031,-0.0031
36.5,36.0,37.0,0.208,0.0014,-0.0014
37.5,37.0,38.0,0.1992,0.0023,-0.0023
38.5,38.0,39.0,0.1903,0.0023,-0.0023
39.5,39.0,40.0,0.1856,0.0012,-0.0012
40.5,40.0,41.0,0.1781,0.001,-0.001
41.5,41.0,42.0,0.1721,0.0027,-0.0027
42.5,42.0,43.0,0.1669,0.0013,-0.0013
43.5,43.0,44.0,0.1621,0.0019,-0.0019
44.5,44.0,45.0,0.1557,0.0026,-0.0026
45.5,45.0,46.0,0.1513,0.0014,-0.0014
46.5,46.0,47.0,0.1467,0.0038,-0.0038
47.5,47.0,48.0,0.1417,0.0017,-0.0017
48.5,48.0,49.0,0.14,0.0015,-0.0015
49.5,49.0,50.0,0.136,0.0015,-0.0015
50.5,50.0,51.0,0.1313,0.0055,-0.0055
51.5,51.0,52.0,0.1275,0.004,-0.004
52.5,52.0,53.0,0.1247,0.0012,-0.0012
53.5,53.0,54.0,0.1233,0.0035,-0.0035
54.5,54.0,55.0,0.1189,0.0019,-0.0019
55.5,55.0,56.0,0.1175,0.0017,-0.0017
56.5,56.0,57.0,0.1148,0.0026,-0.0026
57.5,57.0,58.0,0.1121,0.0016,-0.0016
58.5,58.0,59.0,0.1103,0.0009,-0.0009
59.5,59.0,60.0,0.1073,0.0008,-0.0008
60.5,60.0,61.0,0.1054,0.0029,-0.0029
61.5,61.0,62.0,0.105,0.0029,-0.0029
62.5,62.0,63.0,0.1025,0.003,-0.003
63.5,63.0,64.0,0.1013,0.0021,-0.0021
64.5,64.0,65.0,0.0995,0.0014,-0.0014
65.5,65.0,66.0,0.0965,0.0023,-0.0023
66.5,66.0,67.0,0.0953,0.0018,-0.0018
67.5,67.0,68.0,0.0935,0.0038,-0.0038
68.5,68.0,69.0,0.0932,0.002,-0.002
69.5,69.0,70.0,0.0919,0.0015,-0.0015
70.5,70.0,71.0,0.0894,0.0014,-0.0014
71.5,71.0,72.0,0.0892,0.0021,-0.0021
72.5,72.0,73.0,0.088,0.0006,-0.0006
73.5,73.0,74.0,0.0882,0.001,-0.001
74.5,74.0,75.0,0.0872,0.0017,-0.0017
75.5,75.0,76.0,0.0866,0.0015,-0.0015
76.5,76.0,77.0,0.0844,0.0012,-0.0012
77.5,77.0,78.0,0.0842,0.0012,-0.0012
78.5,78.0,79.0,0.0835,0.0013,-0.0013
79.5,79.0,80.0,0.0823,0.0012,-0.0012
80.5,80.0,81.0,0.0823,0.0015,-0.0015
81.5,81.0,82.0,0.0802,0.0006,-0.0006
82.5,82.0,83.0,0.0813,0.0013,-0.0013
83.5,83.0,84.0,0.0807,0.0023,-0.0023
84.5,84.0,85.0,0.081,0.0015,-0.0015
85.5,85.0,86.0,0.0798,0.0029,-0.0029
86.5,86.0,87.0,0.0793,0.0023,-0.0023
87.5,87.0,88.0,0.0785,0.0019,-0.0019
88.5,88.0,89.0,0.0785,0.0023,-0.0023
89.5,89.0,90.0,0.0785,0.0012,-0.0012

#: RE,,,E+ E- --> HADRONS
#: SQRT(S) [GeV],,,91.3,,
CHI [DEGREES],CHI [DEGREES] LOW,CHI [DEGREES] HIGH,(EEC(180-CHI)-EEC(CHI)) [RAD**-1],error +,error -
0.5,0.0,1.0,-4.391,0.165,-0.165
1.5,1.0,2.0,-0.223,0.141,-0.141
2.5,2.0,3.0,-0.251,0.132,-0.132
3.5,3.0,4.0,-0.167,0.261,-0.261
4.5,4.0,5.0,-0.0565,0.212,-0.212
5.5,5.0,6.0,0.0376,0.133,-0.133
6.5,6.0,7.0,0.124,0.083,-0.083
7.5,7.0,8.0,0.172,0.044,-0.044
8.5,8.0,9.0,0.213,0.017,-0.017
9.5,9.0,10.0,0.225,0.022,-0.022
10.5,10.0,11.0,0.236,0.016,-0.016
11.5,11.0,12.0,0.231,0.02,-0.02
12.5,12.0,13.0,0.225,0.01,-0.01
13.5,13.0,14.0,0.218,0.012,-0.012
14.5,14.0,15.0,0.215,0.012,-0.012
15.5,15.0,16.0,0.211,0.012,-0.012
16.5,16.0,17.0,0.1983,0.0065,-0.0065
17.5,17.0,18.0,0.1899,0.0067,-0.0067
18.5,18.0,19.0,0.1792,0.0038,-0.0038
19.5,19.0,20.0,0.1727,0.004,-0.004
20.5,20.0,21.0,0.1621,0.0024,-0.0024
21.5,21.0,22.0,0.1563,0.0041,-0.0041
22.5,22.0,23.0,0.1519,0.0075,-0.0075
23.5,23.0,24.0,0.141,0.0074,-0.0074
24.5,24.0,25.0,0.1322,0.0057,-0.0057
25.5,25.0,26.0,0.1271,0.0028,-0.0028
26.5,26.0,27.0,0.1198,0.0039,-0.0039
27.5,27.0,28.0,0.1117,0.0035,-0.0035
28.5,28.0,29.0,0.1055,0.0044,-0.0044
29.5,29.0,30.0,0.0992,0.0028,-0.0028
30.5,30.0,31.0,0.094,0.0034,-0.0034
31.5,31.0,32.0,0.0868,0.003,-0.003
32.5,32.0,33.0,0.0811,0.0035,-0.0035
33.5,33.0,34.0,0.0792,0.0042,-0.0042
34.5,34.0,35.0,0.0766,0.0048,-0.0048
35.5,35.0,36.0,0.0711,0.0032,-0.0032
36.5,36.0,37.0,0.0672,0.0035,-0.0035
37.5,37.0,38.0,0.0624,0.0018,-0.0018
38.5,38.0,39.0,0.0587,0.0021,-0.0021
39.5,39.0,40.0,0.0575,0.0016,-0.0016
40.5,40.0,41.0,0.052,0.0018,-0.0018
41.5,41.0,42.0,0.0498,0.0019,-0.0019
42.5,42.0,43.0,0.0477,0.0025,-0.0025
43.5,43.0,44.0,0.0461,0.0023,-0.0023
44.5,44.0,45.0,0.0425,0.0032,-0.0032
45.5,45.0,46.0,0.041,0.0026,-0.0026
46.5,46.0,47.0,0.0376,0.003,-0.003
47.5,47.0,48.0,0.036,0.0017,-0.0017
48.5,48.0,49.0,0.0352,0.0029,-0.0029
49.5,49.0,50.0,0.0331,0.0016,-0.0016
50.5,50.0,51.0,0.0312,0.0017,-0.0017
51.5,51.0,52.0,0.0284,0.0025,-0.0025
52.5,52.0,53.0,0.0282,0.0012,-0.0012
53.5,53.0,54.0,0.0277,0.0023,-0.0023
54.5,54.0,55.0,0.0252,0.0031,-0.0031
55.5,55.0,56.0,0.0245,0.0023,-0.0023
56.5,56.0,57.0,0.023,0.0011,-0.0011
57.5,57.0,58.0,0.0218,0.0022,-0.0022
58.5,58.0,59.0,0.0211,0.0022,-0.0022
59.5,59.0,60.0,0.0194,0.0014,-0.0014
60.5,60.0,61.0,0.0185,0.0011,-0.0011
61.5,61.0,62.0,0.0184,0.0011,-0.0011
62.5,62.0,63.0,0.0173,0.0013,-0.0013
63.5,63.0,64.0,0.0162,0.0029,-0.0029
64.5,64.0,65.0,0.0156,0.0015,-0.0015
65.5,65.0,66.0,0.0135,0.0012,-0.0012
66.5,66.0,67.0,0.0132,0.0013,-0.0013
67.5,67.0,68.0,0.012,0.0019,-0.0019
68.5,68.0,69.0,0.012,0.001,-0.001
69.5,69.0,70.0,0.0111,0.0014,-0.0014
70.5,70.0,71.0,0.0097,0.0019,-0.0019
71.5,71.0,72.0,0.0111,0.0012,-0.0012
72.5,72.0,73.0,0.0093,0.0009,-0.0009
73.5,73.0,74.0,0.0086,0.0009,-0.0009
74.5,74.0,75.0,0.0086,0.0012,-0.0012
75.5,75.0,76.0,0.0085,0.0008,-0.0008
76.5,76.0,77.0,0.0061,0.0012,-0.0012
77.5,77.0,78.0,0.0058,0.0011,-0.0011
78.5,78.0,79.0,0.0065,0.0009,-0.0009
79.5,79.0,80.0,0.0056,0.0009,-0.0009
80.5,80.0,81.0,0.0046,0.0009,-0.0009
81.5,81.0,82.0,0.0032,0.0019,-0.0019
82.5,82.0,83.0,0.004,0.0009,-0.0009
83.5,83.0,84.0,0.004,0.0014,-0.0014
84.5,84.0,85.0,0.0046,0.0011,-0.0011
85.5,85.0,86.0,0.0023,0.001,-0.001
86.5,86.0,87.0,0.0018,0.0011,-0.0011
87.5,87.0,88.0,0.0019,0.0011,-0.0011
88.5,88.0,89.0,0.0005,0.0015,-0.0015
89.5,89.0,90.0,0.0001,0.0012,-0.0012

